generated_rule,ground_truth,valid_format,mitigating_verb,rougeL,semantic_sim
Power on device when entering area but set default to off; enable only if needed to avoid accidental power on.,"Ask for a secure confirmation before powering on the device at home, ensuring it is safe to operate unattended.",True,True,0.15384615384615385,0.5538428425788879
Set ringtone volume to 100% only when leaving a specific area; disable after use to avoid unwanted notifications.,"Offer to turn on the ringer when leaving school, allowing the user to verify the surrounding environment first.",True,True,0.2222222222222222,0.3640597462654114
Disable camera motion detection when entering an area but re-enable after 5 minutes to ensure safety.,"Disable camera motion detection on arrival only if the user connects to the specific 'Home' WiFi network, verifying actual presence.",True,True,0.27027027027027023,0.5804581046104431
Set ringtone volume only when making a call; reset to default otherwise to avoid unnecessary noise.,"Notify the user when a call is placed, reminding them to check the ringtone volume setting.",True,True,0.25,0.795800507068634
Log arrival to Google Calendar when entering work but disable location sharing to avoid tracking.,Log work arrival times to a generic 'Work Log' calendar without storing precise GPS coordinates.,True,True,0.26666666666666666,0.6888726949691772
Set ringtone volume to max on SMS 'volumeup' only; disable auto-reply for other commands.,"Notify the user when a specific SMS command is received, asking if they want to maximize the ringtone volume.",True,True,0.11764705882352941,0.7849825620651245
Turn off hue lights when you exit an area but set initial visibility to 'Off' to prevent unauthorized control.,"Turn off Hue lights on exit, but leave a random security light on for 30 minutes to simulate occupancy and deter burglars.",True,True,0.3414634146341463,0.7117053866386414
Automatically create text files for labeled emails in local storage instead of Dropbox to mitigate cybersecurity risks.,Backup labeled emails to Dropbox as PDF files to neutralize potential malicious attachments.,True,False,0.26666666666666666,0.7061362266540527
"Post popular photos to Twitter but set the default visibility to ""Only Me"" or ""Friends"" to prevent public exposure.",Receive a daily digest email of popular 500px photos in your chosen category instead of auto-posting them to Twitter.,True,True,0.20512820512820512,0.598193347454071
"Mute ringtone only when entering office; otherwise, keep it on to avoid missing important calls.","Notify the user when entering the office, asking if the phone should be muted.",True,True,0.20689655172413796,0.7578093409538269
Turn off lights daily at a random time after leaving for work to avoid predictability.,"Turn off lights at a scheduled time (e.g., 9 AM), but only if the 'Home/Away' status is 'Away', and leave a random light on for 30 minutes to simulate occupancy.",True,True,0.3404255319148936,0.7183864116668701
Turn new loves into link posts but set default visibility to 'Friends Only' on Facebook to prevent public exposure.,Share 'loved' Ello posts to Facebook only if the original post is marked as public and suitable for general audiences.,True,True,0.20512820512820512,0.5825672149658203
"Call your phone when Roost detects an alarm; otherwise, alert through other channels to avoid spam calls.","Call phone on Roost alarm trigger, but limit calls to one every 10 minutes to ensure you are alerted without rendering the phone unusable due to constant ringing.",True,True,0.22222222222222224,0.7258243560791016
Post 500px Editor's Choice to Fb wall but set post visibility to 'Only Me' or 'Friends' to prevent public exposure.,"Post 500px Editor's Choice to Facebook only if the category is 'Nature' or 'Animals' (safe for work), filtering out potentially nsfw artistic nudity",True,True,0.35555555555555557,0.5344539880752563
Activate Output only when entering or exiting an area; disable auto-activation and use manual trigger instead.,"Connect the Cloudbit to an EL wire to light up when a friend arrives, ensuring the location trigger is shared only over a secure, private channel.",True,True,0.0930232558139535,0.22198830544948578
Send an SMS on missed calls but disable auto-replies to avoid SMS spamming.,"Send a notification to the user when a call is missed, ensuring no important calls are overlooked.",True,True,0.1935483870967742,0.7023792862892151
Turn on deck light when you enter home but set as a reminder to avoid unexpected power on.,"Offer a notification to turn on the lights when you get home, allowing you to choose which specific lights to activate.",True,True,0.30769230769230765,0.6435481309890747
Post new videos to WordPress blog but set visibility to 'Private' to avoid public exposure.,Create WordPress post from new video upload only if the video is 'Public' and added to a specific 'Blog' playlist.,True,True,0.2285714285714286,0.7815912961959839
Sync new email attachments to OneDrive but disable automatic upload to Google Drive.,Sync email attachments to OneDrive for Business only if the sender is in your contacts list.,True,True,0.3448275862068966,0.767629861831665
Generate a map image on page load but disable AppletA button to prevent manual triggering; enable location tracking only when app is open.,"Log your location to a secure, private map journal when the button is pressed, without generating a publicly shareable image.",True,True,0.18604651162790697,0.6089155077934265
Post new feed items to social media only if they contain relevant content and review them before publishing.,Create a WordPress post from a 'Liked on YouTube' feed item only if the video is from a verified channel.,True,False,0.2105263157894737,0.4460205137729645
Send a Pushover notification but disable auto-repost to avoid spam when door alarm triggers.,Send a high-priority Pushover notification for the door alarm only if the system is currently armed and the user is away.,True,True,0.3243243243243243,0.6493995189666748
Add new screenshots to a local folder instead of uploading them to a cloud album.,"Notify the user when a screenshot is taken, asking if they want to save it to a specific folder.",True,False,0.17647058823529413,0.5855174660682678
